chain_name,location_name,source_location_code
MUVIE CINEMAS,MUVIE CINEMAS 台中TIGER CITY,TT01
MUVIE CINEMAS,MUVIE CINEMAS 台中TIGER CITY (GC),TT02
MUVIE CINEMAS,MUVIE CINEMAS 台北松仁,MU
MUVIE CINEMAS,MUVIE CINEMAS 台北松仁 (MUCROWN),MUC
in89 豪華影城,台中豐原 in89豪華影城,15
in89 豪華影城,台北西門 in89豪華影城,3
in89 豪華影城,嘉義影食匯 in89豪華影城,17
in89 豪華影城,桃園站前 in89豪華影城,1
in89 豪華影城,澎湖昇恆昌 in89豪華影城,14
in89 豪華影城,高雄大立 in89豪華影城,16
in89 豪華影城,高雄鹽埕 in89駁二電影院,2
中影屏東影城,中影屏東影城,main
國賓影城,八德置地國賓影城,8fda9934-73d4-4c14-b1c4-386c2b81045c
國賓影城,台北長春國賓影城,453b2966-f7c2-44a9-b2eb-687493855d0e
國賓影城,國賓大戲院,84b87b82-b936-4a39-b91f-e88328d33b4e
國賓影城,屏東環球國賓影城,41aae717-4464-49f4-ac26-fec2d16acbd6
國賓影城,新莊晶冠國賓影城,3301d822-b385-4aa8-a9eb-aa59d58e95c9
國賓影城,林口昕境國賓影城,9383c5fa-b4f3-4ba8-ba7a-c25c7df95fd0
國賓影城,淡水禮萊國賓影城,1e42d235-c3cf-4f75-a382-af60f67a4aad
國賓影城,金門昇恆昌國賓影城,65db51ce-3ad5-48d8-8e32-7e872e56aa4a
國賓影城,高雄SKM Park國賓影城,f760950a-94b6-4e04-9573-831ed7283c5c
國賓影城,高雄義大國賓影城,ec07626b-b382-474e-be39-ad45eac5cd1c
天台影城,三重天台影城,main
威尼斯影城,桃園中壢威尼斯影城,main
威秀影城 / VIESHOW,中和環球威秀影城,GM
威秀影城 / VIESHOW,台中iFG 遠雄廣場威秀影城,MM
威秀影城 / VIESHOW,台中大遠百威秀影城,TZ
威秀影城 / VIESHOW,台北京站威秀影城,QS
威秀影城 / VIESHOW,台北信義威秀影城,TP
威秀影城 / VIESHOW,台北南港 LaLaport威秀影城,NL
威秀影城 / VIESHOW,台北西門威秀影城,TX
威秀影城 / VIESHOW,台南FOCUS威秀影城,FC
威秀影城 / VIESHOW,台南南紡威秀影城,NF
威秀影城 / VIESHOW,台南南紡威秀影城 (GC),NFGC
威秀影城 / VIESHOW,台南大遠百威秀影城,TN
威秀影城 / VIESHOW,新店裕隆城威秀影城,HU
威秀影城 / VIESHOW,新竹大遠百威秀影城,HS
威秀影城 / VIESHOW,新竹大遠百威秀影城 (GC),HSGC
威秀影城 / VIESHOW,新竹巨城威秀影城,BC
威秀影城 / VIESHOW,板橋大遠百威秀影城,BQ
威秀影城 / VIESHOW,林口MITSUI OUTLET PARK威秀影城,LK
威秀影城 / VIESHOW,桃園桃知道威秀影城,TG
威秀影城 / VIESHOW,桃園統領威秀影城,TY
威秀影城 / VIESHOW,花蓮新天堂樂園威秀影城,HL
威秀影城 / VIESHOW,頭份尚順威秀影城,TF
威秀影城 / VIESHOW,高雄大遠百威秀影城,KS
威秀影城 / VIESHOW,高雄大遠百威秀影城 (GC),KSGC
新光影城,新光影城台中中港,1003
新光影城,新光影城台北天母,1005
新光影城,新光影城台北獅子林,1001
新光影城,新光影城台南西門,1002
新光影城,新光影城桃園青埔,1004
新月豪華影城,宜蘭新月豪華影城,main
日新戲院 / 宜蘭電影資訊網,羅東日新戲院本館,main
日新戲院 / 宜蘭電影資訊網,羅東日新戲院統一廳,united
王牌映画影城,王牌映画影城－廣三SOGO店,main
環球中華影城,斗六環球中華影城,main
百老匯影城,公館百老匯影城,Taipei
百老匯影城,竹北百老匯影城,Zhubei
秀泰影城,北港秀泰影城,58
秀泰影城,台中文心秀泰影城,56
秀泰影城,台中站前秀泰影城,53
秀泰影城,台中麗寶秀泰影城,59
秀泰影城,台北欣欣秀泰影城,2
秀泰影城,台南仁德秀泰影城,60
秀泰影城,台東秀泰影城,7
秀泰影城,嘉義秀泰影城,9
秀泰影城,土城秀泰影城,55
秀泰影城,基隆秀泰影城,5
秀泰影城,大巨蛋秀泰影城,91
秀泰影城,樹林秀泰影城,54
秀泰影城,花蓮秀泰影城,3
秀泰影城,高雄夢時代秀泰影城,87
秀泰影城,高雄岡山秀泰影城,84
美麗新影城,台北大直美麗新皇家影城,1005
美麗新影城,桃園台茂美麗新影城,1004
親親影城 / 親親戲院,親親影城,main
金獅影城,金門金獅影城,main
高雄環球影城,高雄環球影城,main
