chain_name,official_url,crawl_url,booking_url,all_locations_assumed_showing,notes,location_name,address,city,district,latitude,longitude,location_url,source_location_code
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台北信義威秀影城,,台北市,,,,https://www.vscinemas.com.tw/ShowTimes/,TP
MUVIE CINEMAS,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,MUVIE CINEMAS 台北松仁,,台北市,,,,https://www.vscinemas.com.tw/ShowTimes/,MU
MUVIE CINEMAS,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；MUCROWN 特殊廳別入口；實際地址與經緯度待補,MUVIE CINEMAS 台北松仁 (MUCROWN),,台北市,,,,https://www.vscinemas.com.tw/ShowTimes/,MUC
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台北南港 LaLaport威秀影城,,台北市,,,,https://www.vscinemas.com.tw/ShowTimes/,NL
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台北京站威秀影城,,台北市,,,,https://www.vscinemas.com.tw/ShowTimes/,QS
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台北西門威秀影城,,台北市,,,,https://www.vscinemas.com.tw/ShowTimes/,TX
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,板橋大遠百威秀影城,,新北市,,,,https://www.vscinemas.com.tw/ShowTimes/,BQ
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,中和環球威秀影城,,新北市,,,,https://www.vscinemas.com.tw/ShowTimes/,GM
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,新店裕隆城威秀影城,,新北市,,,,https://www.vscinemas.com.tw/ShowTimes/,HU
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,林口MITSUI OUTLET PARK威秀影城,,新北市,,,,https://www.vscinemas.com.tw/ShowTimes/,LK
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,桃園統領威秀影城,,桃園市,,,,https://www.vscinemas.com.tw/ShowTimes/,TY
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,桃園桃知道威秀影城,,桃園市,,,,https://www.vscinemas.com.tw/ShowTimes/,TG
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,新竹大遠百威秀影城,,新竹市,,,,https://www.vscinemas.com.tw/ShowTimes/,HS
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；GC 特殊廳別入口；實際地址與經緯度待補,新竹大遠百威秀影城 (GC),,新竹市,,,,https://www.vscinemas.com.tw/ShowTimes/,HSGC
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,新竹巨城威秀影城,,新竹市,,,,https://www.vscinemas.com.tw/ShowTimes/,BC
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,頭份尚順威秀影城,,苗栗縣,,,,https://www.vscinemas.com.tw/ShowTimes/,TF
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台中大遠百威秀影城,,台中市,,,,https://www.vscinemas.com.tw/ShowTimes/,TZ
MUVIE CINEMAS,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,MUVIE CINEMAS 台中TIGER CITY,,台中市,,,,https://www.vscinemas.com.tw/ShowTimes/,TT01
MUVIE CINEMAS,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；GC 特殊廳別入口；實際地址與經緯度待補,MUVIE CINEMAS 台中TIGER CITY (GC),,台中市,,,,https://www.vscinemas.com.tw/ShowTimes/,TT02
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台中iFG 遠雄廣場威秀影城,,台中市,,,,https://www.vscinemas.com.tw/ShowTimes/,MM
威秀影城 / VIESHOW,https://www.vscinemas.com.tw/,https://www.vscinemas.com.tw/ShowTimes/,,1,威秀場次頁下拉選單來源；實際地址與經緯度待補,台南大遠百威秀影城,,台南市,,,,https://www.vscinemas.com.tw/ShowTimes/,TN
